gbifID;species;countryCode;decimalLatitude;decimalLongitude
1895636593;Lontra longicaudis;MX;16.465833;-96.684722
1895636592;Lontra longicaudis;MX;19.641111;-105.1825
1895636587;Lontra longicaudis;MX;27.211389;-107.913889
1895636585;Lontra longicaudis;MX;22.978889;-103.111667
1895636583;Lontra longicaudis;MX;18.770278;-95.760556
1895636580;Lontra longicaudis;MX;21.333611;-104.588056
1895636579;Lontra longicaudis;MX;17.835833;-93.39
1895636577;Lontra longicaudis;MX;18.07333;-102.75639
1895636575;Lontra longicaudis;MX;17.19;-93.104167
1895636574;Lontra longicaudis;MX;18.65343315;-99.57233128
1895636572;Lontra longicaudis;MX;18.504167;-95.035556
1895636571;Lontra longicaudis;MX;18.18465853;-103.0076699
1895636570;Lontra longicaudis;MX;17.023611;-93.013889
1895636568;Lontra longicaudis;MX;15.933333;-97.233333
1895636567;Lontra longicaudis;MX;18.327222;-100.698333
1895636566;Lontra longicaudis;MX;19.043333;-98.197222
1895636564;Lontra longicaudis;MX;16.89167;-98.96528
1895636563;Lontra longicaudis;MX;27.394167;-110.343056
1895636562;Lontra longicaudis;MX;21.333611;-104.588056
1895636560;Lontra longicaudis;MX;16.753333;-93.116667
1895636559;Lontra longicaudis;MX;18.16128;-92.12111
1895636556;Lontra longicaudis;MX;16.401944;-91.064444
1895636555;Lontra longicaudis;MX;17.067778;-96.72
1895636554;Lontra longicaudis;MX;;
1895636553;Lontra longicaudis;MX;17.432778;-95.024444
1895636552;Lontra longicaudis;MX;20.262222;-104.344444
1895636551;Lontra longicaudis;MX;19.940833;-105.248611
1895636550;Lontra longicaudis;MX;24.411389;-104.901111
1895636549;Lontra longicaudis;MX;22.01;-103.225556
1895636548;Lontra longicaudis;MX;16.6825;-96.884722
1895636546;Lontra longicaudis;MX;17.19;-93.104167
1895636545;Lontra longicaudis;MX;17.835833;-93.39
1895636544;Lontra longicaudis;MX;17.432778;-95.024444
1895636543;Lontra longicaudis;MX;17.006111;-100.0875
1895636542;Lontra longicaudis;MX;17.067778;-96.72
1895636541;Lontra longicaudis;MX;;
1895636540;Lontra longicaudis;MX;16.608333;-95.979444
1895636539;Lontra longicaudis;MX;;
1895636538;Lontra longicaudis;MX;19.515833;-101.609444
1895636536;Lontra longicaudis;MX;26.091389;-106.963056
1895636535;Lontra longicaudis;MX;27.023333;-108.932222
1895636534;Lontra longicaudis;MX;18.5825;-103.674444
1895636533;Lontra longicaudis;MX;17.536111;-101.270278
1895636532;Lontra longicaudis;MX;17.416667;-99.15
1895636531;Lontra longicaudis;MX;17.067778;-96.72
1895636530;Lontra longicaudis;MX;17.93151064;-101.8182213
1895636529;Lontra longicaudis;MX;16.6825;-98.405278
1895636527;Lontra longicaudis;MX;19.940833;-105.248611
1895636526;Lontra longicaudis;MX;19.174167;-96.131944
1895636525;Lontra longicaudis;MX;28.371111;-108.925556
1895636524;Lontra longicaudis;MX;19.641111;-105.1825
1895636523;Lontra longicaudis;MX;22.01;-103.225556
1895636522;Lontra longicaudis;MX;19.408056;-87.466389
